Dataset,Rate,Neurons,Performance
job-applicants,0.001,32,0.6618567705154419
job-applicants,0.001,64,0.7123150825500488
job-applicants,0.001,128,0.7178509831428528
job-applicants,0.001,256,0.724112868309021
job-applicants,0.01,32,0.6866321563720703
job-applicants,0.01,64,0.7033305764198303
job-applicants,0.01,128,0.7000635266304016
job-applicants,0.01,256,0.7027860879898071
job-applicants,0.1,32,0.6823667883872986
job-applicants,0.1,64,0.5407024025917053
job-applicants,0.1,128,0.5407024025917053
job-applicants,0.1,256,0.4592975676059723
